UF,Como ficou sabendo do curso?,Género,Categoria,Dias após o início das inscrições,Auxiliar,Data Inscrição,Inscrição
PB,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,22,44658,07/04/2022 17:31:00,Aprovado
PI,Grupo de WhatsApp,F,Hematologia Forense e Entomologia Forense,22,44658,07/04/2022 01:19:00,Aprovado
MG,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,23,44657,06/04/2022 06:10:00,Aprovado
RS,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,24,44656,05/04/2022 08:12:00,Aprovado
PR,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,24,44656,05/04/2022 08:02:00,Aprovado
RN,No Instagram da Alquimista Jr.,F,Hematologia Forense,27,44653,02/04/2022 18:45:00,Aprovado
,No Instagram da Alquimista Jr.,M,Hematologia Forense e Entomologia Forense,27,44653,02/04/2022 11:38:00,Aprovado
RJ,Propaganda do Instagram,,Hematologia Forense e Entomologia Forense,27,44653,02/04/2022 06:02:00,Aprovado
SP,Grupo de WhatsApp,M,Hematologia Forense e Entomologia Forense,27,44653,02/04/2022 01:45:00,Aprovado
MS,Propaganda do Instagram,F,Hematologia Forense,28,44652,01/04/2022 17:31:00,Aprovado
RS,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,29,44651,31/03/2022 23:56:00,Aprovado
RS,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,29,44651,31/03/2022 15:21:00,Aprovado
TO,Indicação de amigo,F,Entomologia Forense,29,44651,31/03/2022 06:05:00,Aprovado
CE,No Instagram da Alquimista Jr.,F,Hematologia Forense e Entomologia Forense,30,44650,30/03/2022 17:26:00,Aprovado
MT,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,32,44648,28/03/2022 20:28:00,Aprovado
,Propaganda do Instagram,F,Hematologia Forense e Entomologia Forense,32,44648,28/03/2022 18:38:00,Aprovado
CE,Indicação de amigo,M,Inscrições para Alunos da UVA,36,44644,24/03/2022 06:04:00,Aprovado
CE,No Instagram da Alquimista Jr.,F,Hematologia Forense,40,44640,20/03/2022 23:41:00,Aprovado
PE,Nenhuma das opções anteriores,F,Hematologia Forense e Entomologia Forense,40,44640,20/03/2022 21:44:00,Aprovado
SP,No Instagram da Alquimista Jr.,F,Hematologia Forense,40,44640,20/03/2022 20:19:00,Aprovado
CE,Grupo de WhatsApp,F,Inscrições para Alunos da UVA,42,44638,18/03/2022 18:03:00,Aprovado
BA,Grupo de WhatsApp,F,Hematologia Forense e Entomologia Forense,42,44638,18/03/2022 17:15:00,Aprovado
MG,Grupo de WhatsApp,F,Hematologia Forense e Entomologia Forense,42,44638,18/03/2022 12:19:00,Aprovado
SE,Grupo de WhatsApp,F,Hematologia Forense e Entomologia Forense,42,44638,18/03/2022 12:08:00,Aprovado
MT,Grupo de WhatsApp,F,Hematologia Forense e Entomologia Forense,43,44637,17/03/2022 21:57:00,Aprovado
